Text;Size;Color;Angle;Font;Repeat;URL
conoscenza;48;Random;Random;Random;Yes;
sistema;31;Random;Random;Random;Yes;
livello;30;Random;Random;Random;Yes;
rappresentazione;28;Random;Random;Random;Yes;
stato;28;Random;Random;Random;Yes;
ragionamento;27;Random;Random;Random;Yes;
soluzione;27;Random;Random;Random;Yes;
stati;24;Random;Random;Random;Yes;
mondo;22;Random;Random;Random;Yes;
problema;21;Random;Random;Random;Yes;
agenti;21;Random;Random;Random;Yes;
sistemi;20;Random;Random;Random;Yes;
termini;17;Random;Random;Random;Yes;
individui;17;Random;Random;Random;Yes;
relazioni;17;Random;Random;Random;Yes;
info;17;Random;Random;Random;Yes;
dati;16;Random;Random;Random;Yes;
dominio;16;Random;Random;Random;Yes;
miglior;16;Random;Random;Random;Yes;
informazione;15;Random;Random;Random;Yes;
azioni;15;Random;Random;Random;Yes;
simboli;14;Random;Random;Random;Yes;
problemi;14;Random;Random;Random;Yes;
ragionare;14;Random;Random;Random;Yes;
caratteristiche;13;Random;Random;Random;Yes;
dato;12;Random;Random;Random;Yes;
linguaggio;12;Random;Random;Random;Yes;
tempo;12;Random;Random;Random;Yes;
modello;11;Random;Random;Random;Yes;
compiti;11;Random;Random;Random;Yes;
potrebbe;11;Random;Random;Random;Yes;
modularità;10;Random;Random;Random;Yes;
ai;10;Random;Random;Random;Yes;
attraverso;10;Random;Random;Random;Yes;
significato;10;Random;Random;Random;Yes;
ambiente;10;Random;Random;Random;Yes;
modo;10;Random;Random;Random;Yes;
determinare;10;Random;Random;Random;Yes;
serve;10;Random;Random;Random;Yes;
agente;10;Random;Random;Random;Yes;
feature;10;Random;Random;Random;Yes;
esempio;9;Random;Random;Random;Yes;
dimensioni;9;Random;Random;Random;Yes;
apprendimento;9;Random;Random;Random;Yes;
risorse;9;Random;Random;Random;Yes;
base;9;Random;Random;Random;Yes;
qualità;9;Random;Random;Random;Yes;
informazioni;9;Random;Random;Random;Yes;
prendere;9;Random;Random;Random;Yes;
azione;9;Random;Random;Random;Yes;
cosa;9;Random;Random;Random;Yes;
caso;9;Random;Random;Random;Yes;
volte;9;Random;Random;Random;Yes;
dimensione;9;Random;Random;Random;Yes;
complessità;8;Random;Random;Random;Yes;
osservazioni;8;Random;Random;Random;Yes;
decisioni;8;Random;Random;Random;Yes;
valori;8;Random;Random;Random;Yes;
sorgenti;8;Random;Random;Random;Yes;
specifica;8;Random;Random;Random;Yes;
risposta;8;Random;Random;Random;Yes;
relazione;8;Random;Random;Random;Yes;
diversi;8;Random;Random;Random;Yes;
quello;8;Random;Random;Random;Yes;
robot;8;Random;Random;Random;Yes;
difficile;8;Random;Random;Random;Yes;
possibile;7;Random;Random;Random;Yes;
intelligente;7;Random;Random;Random;Yes;
computazione;7;Random;Random;Random;Yes;
astrazione;7;Random;Random;Random;Yes;
intelligenti;7;Random;Random;Random;Yes;
molto;7;Random;Random;Random;Yes;
singolo;7;Random;Random;Random;Yes;
knowledge;7;Random;Random;Random;Yes;
descrizione;7;Random;Random;Random;Yes;
esperienza;7;Random;Random;Random;Yes;
risolvere;7;Random;Random;Random;Yes;
risposte;7;Random;Random;Random;Yes;
basso;7;Random;Random;Random;Yes;
livelli;7;Random;Random;Random;Yes;
ambienti;7;Random;Random;Random;Yes;
proposizioni;7;Random;Random;Random;Yes;
moduli;7;Random;Random;Random;Yes;
decisione;7;Random;Random;Random;Yes;
preferenze;7;Random;Random;Random;Yes;
sapere;6;Random;Random;Random;Yes;
schema;6;Random;Random;Random;Yes;
orizzonte;6;Random;Random;Random;Yes;
numero;6;Random;Random;Random;Yes;
limiti;6;Random;Random;Random;Yes;
tale;6;Random;Random;Random;Yes;
progettazione;6;Random;Random;Random;Yes;
sw;6;Random;Random;Random;Yes;
utili;6;Random;Random;Random;Yes;
quella;6;Random;Random;Random;Yes;
secondo;6;Random;Random;Random;Yes;
semplici;6;Random;Random;Random;Yes;
proprietà;6;Random;Random;Random;Yes;
dell'ambiente;6;Random;Random;Random;Yes;
dello;6;Random;Random;Random;Yes;
solo;6;Random;Random;Random;Yes;
vanno;6;Random;Random;Random;Yes;
progettista;6;Random;Random;Random;Yes;
vari;6;Random;Random;Random;Yes;
tali;6;Random;Random;Random;Yes;
siano;6;Random;Random;Random;Yes;
diverse;6;Random;Random;Random;Yes;
prima;6;Random;Random;Random;Yes;
alle;6;Random;Random;Random;Yes;
finalità;6;Random;Random;Random;Yes;
possibili;6;Random;Random;Random;Yes;
effetti;6;Random;Random;Random;Yes;
osservabile;6;Random;Random;Random;Yes;
razionalità;6;Random;Random;Random;Yes;
incertezza;5;Random;Random;Random;Yes;
preferenza;5;Random;Random;Random;Yes;
computazionali;5;Random;Random;Random;Yes;
infobot;5;Random;Random;Random;Yes;
comportamento;5;Random;Random;Random;Yes;
ricerca;5;Random;Random;Random;Yes;
creare;5;Random;Random;Random;Yes;
macchine;5;Random;Random;Random;Yes;
grado;5;Random;Random;Random;Yes;
gerarchia;5;Random;Random;Random;Yes;
modelli;5;Random;Random;Random;Yes;
rappresentare;5;Random;Random;Random;Yes;
information;5;Random;Random;Random;Yes;
segni;5;Random;Random;Random;Yes;
necessari;5;Random;Random;Random;Yes;
domande;5;Random;Random;Random;Yes;
comprensione;5;Random;Random;Random;Yes;
struttura;5;Random;Random;Random;Yes;
senso;5;Random;Random;Random;Yes;
capacità;5;Random;Random;Random;Yes;
volta;5;Random;Random;Random;Yes;
svolgere;5;Random;Random;Random;Yes;
comune;5;Random;Random;Random;Yes;
macchina;5;Random;Random;Random;Yes;
compromessi;5;Random;Random;Random;Yes;
alcuni;5;Random;Random;Random;Yes;
definire;5;Random;Random;Random;Yes;
dove;5;Random;Random;Random;Yes;
multipli;5;Random;Random;Random;Yes;
computer;5;Random;Random;Random;Yes;
agire;5;Random;Random;Random;Yes;
utile;5;Random;Random;Random;Yes;
parte;5;Random;Random;Random;Yes;
d'astrazione;5;Random;Random;Random;Yes;
passi;5;Random;Random;Random;Yes;
ragiona;5;Random;Random;Random;Yes;
fase;5;Random;Random;Random;Yes;
complessi;5;Random;Random;Random;Yes;
decidere;5;Random;Random;Random;Yes;
senza;5;Random;Random;Random;Yes;
probabilità;5;Random;Random;Random;Yes;
l'incertezza;5;Random;Random;Random;Yes;
limitata;5;Random;Random;Random;Yes;
interagisce;5;Random;Random;Random;Yes;
ingegneria;4;Random;Random;Random;Yes;
scienza;4;Random;Random;Random;Yes;
soluzioni;4;Random;Random;Random;Yes;
rappresentazioni;4;Random;Random;Random;Yes;
db;4;Random;Random;Random;Yes;
comuni;4;Random;Random;Random;Yes;
input;4;Random;Random;Random;Yes;
teorie;4;Random;Random;Random;Yes;
sempre;4;Random;Random;Random;Yes;
scopo;4;Random;Random;Random;Yes;
viene;4;Random;Random;Random;Yes;
quindi;4;Random;Random;Random;Yes;
ecc;4;Random;Random;Random;Yes;
singoli;4;Random;Random;Random;Yes;
fini;4;Random;Random;Random;Yes;
umani;4;Random;Random;Random;Yes;
disponibili;4;Random;Random;Random;Yes;
possa;4;Random;Random;Random;Yes;
naturale;4;Random;Random;Random;Yes;
fatto;4;Random;Random;Random;Yes;
cardinale;4;Random;Random;Random;Yes;
intelligent;4;Random;Random;Random;Yes;
ed;4;Random;Random;Random;Yes;
potrebbero;4;Random;Random;Random;Yes;
considerazione;4;Random;Random;Random;Yes;
descrizioni;4;Random;Random;Random;Yes;
calcolo;4;Random;Random;Random;Yes;
paziente;4;Random;Random;Random;Yes;
spazio;4;Random;Random;Random;Yes;
strategie;4;Random;Random;Random;Yes;
facile;4;Random;Random;Random;Yes;
considerare;4;Random;Random;Random;Yes;
due;4;Random;Random;Random;Yes;
persone;4;Random;Random;Random;Yes;
gerarchica;4;Random;Random;Random;Yes;
modulare;4;Random;Random;Random;Yes;
interagiscono;4;Random;Random;Random;Yes;
spento;4;Random;Random;Random;Yes;
posizione;4;Random;Random;Random;Yes;
caratteristica;4;Random;Random;Random;Yes;
studenti;4;Random;Random;Random;Yes;
voto;4;Random;Random;Random;Yes;
ha;4;Random;Random;Random;Yes;
modulo;4;Random;Random;Random;Yes;
conto;4;Random;Random;Random;Yes;
percezione;4;Random;Random;Random;Yes;
parzialmente;4;Random;Random;Random;Yes;
complesse;4;Random;Random;Random;Yes;
fine;4;Random;Random;Random;Yes;
trovare;4;Random;Random;Random;Yes;
introduzione;3;Random;Random;Random;Yes;
definizioni;3;Random;Random;Random;Yes;
piramide;3;Random;Random;Random;Yes;
osservazione;3;Random;Random;Random;Yes;
interazione;3;Random;Random;Random;Yes;
contesto;3;Random;Random;Random;Yes;
intelligenza;3;Random;Random;Random;Yes;
comprendere;3;Random;Random;Random;Yes;
c'è;3;Random;Random;Random;Yes;
fornire;3;Random;Random;Random;Yes;
organizzazioni;3;Random;Random;Random;Yes;
maggiore;3;Random;Random;Random;Yes;
system;3;Random;Random;Random;Yes;
costruire;3;Random;Random;Random;Yes;
specifici;3;Random;Random;Random;Yes;
terms;3;Random;Random;Random;Yes;
rappresentano;3;Random;Random;Random;Yes;
segnali;3;Random;Random;Random;Yes;
forma;3;Random;Random;Random;Yes;
oggetti;3;Random;Random;Random;Yes;
comunicazione;3;Random;Random;Random;Yes;
definita;3;Random;Random;Random;Yes;
organizzati;3;Random;Random;Random;Yes;
rappresenta;3;Random;Random;Random;Yes;
elaborata;3;Random;Random;Random;Yes;
altrimenti;3;Random;Random;Random;Yes;
procedure;3;Random;Random;Random;Yes;
know;3;Random;Random;Random;Yes;
un'azione;3;Random;Random;Random;Yes;
credenze;3;Random;Random;Random;Yes;
empirica;3;Random;Random;Random;Yes;
forme;3;Random;Random;Random;Yes;
certo;3;Random;Random;Random;Yes;
uso;3;Random;Random;Random;Yes;
importante;3;Random;Random;Random;Yes;
prolog;3;Random;Random;Random;Yes;
compito;3;Random;Random;Random;Yes;
output;3;Random;Random;Random;Yes;
va;3;Random;Random;Random;Yes;
piccole;3;Random;Random;Random;Yes;
efficiente;3;Random;Random;Random;Yes;
pregressa;3;Random;Random;Random;Yes;
utente;3;Random;Random;Random;Yes;
fornita;3;Random;Random;Random;Yes;
misura;3;Random;Random;Random;Yes;
tipicamente;3;Random;Random;Random;Yes;
ordinale;3;Random;Random;Random;Yes;
situazioni;3;Random;Random;Random;Yes;
frasi;3;Random;Random;Random;Yes;
simon;3;Random;Random;Random;Yes;
fisico;3;Random;Random;Random;Yes;
invece;3;Random;Random;Random;Yes;
vero;3;Random;Random;Random;Yes;
dettagli;3;Random;Random;Random;Yes;
parziale;3;Random;Random;Random;Yes;
scelta;3;Random;Random;Random;Yes;
sa;3;Random;Random;Random;Yes;
esterno;3;Random;Random;Random;Yes;
produce;3;Random;Random;Random;Yes;
specificare;3;Random;Random;Random;Yes;
comunicare;3;Random;Random;Random;Yes;
possibilità;3;Random;Random;Random;Yes;
farsi;3;Random;Random;Random;Yes;
limite;3;Random;Random;Random;Yes;
poter;3;Random;Random;Random;Yes;
alto;3;Random;Random;Random;Yes;
compromesso;3;Random;Random;Random;Yes;
dipende;3;Random;Random;Random;Yes;
capace;3;Random;Random;Random;Yes;
ancora;3;Random;Random;Random;Yes;
separatamente;3;Random;Random;Random;Yes;
aggiunte;3;Random;Random;Random;Yes;
piatta;3;Random;Random;Random;Yes;
riscaldamento;3;Random;Random;Random;Yes;
valore;3;Random;Random;Random;Yes;
interruttori;3;Random;Random;Random;Yes;
up;3;Random;Random;Random;Yes;
lettere;3;Random;Random;Random;Yes;
funzioni;3;Random;Random;Random;Yes;
tutte;3;Random;Random;Random;Yes;
meglio;3;Random;Random;Random;Yes;
usare;3;Random;Random;Random;Yes;
corsi;3;Random;Random;Random;Yes;
corso;3;Random;Random;Random;Yes;
l'orizzonte;3;Random;Random;Random;Yes;
pianificazione;3;Random;Random;Random;Yes;
cane;3;Random;Random;Random;Yes;
finito;3;Random;Random;Random;Yes;
fare;3;Random;Random;Random;Yes;
deterministica;3;Random;Random;Random;Yes;
tener;3;Random;Random;Random;Yes;
cercare;3;Random;Random;Random;Yes;
dell'agente;3;Random;Random;Random;Yes;
migliori;3;Random;Random;Random;Yes;
appresa;3;Random;Random;Random;Yes;
passata;3;Random;Random;Random;Yes;
memoria;3;Random;Random;Random;Yes;
informatica;2;Random;Random;Random;Yes;
indice;2;Random;Random;Random;Yes;
preliminari;2;Random;Random;Random;Yes;
rss;2;Random;Random;Random;Yes;
ontologie;2;Random;Random;Random;Yes;
concettualizzazioni;2;Random;Random;Random;Yes;
incerta;2;Random;Random;Random;Yes;
effetto;2;Random;Random;Random;Yes;
incerto;2;Random;Random;Random;Yes;
applicazioni;2;Random;Random;Random;Yes;
artificiale;2;Random;Random;Random;Yes;
disciplina;2;Random;Random;Random;Yes;
tesa;2;Random;Random;Random;Yes;
studiare;2;Random;Random;Random;Yes;
principi;2;Random;Random;Random;Yes;
ipotesi;2;Random;Random;Random;Yes;
interpretare;2;Random;Random;Random;Yes;
manipolazione;2;Random;Random;Random;Yes;
spiegare;2;Random;Random;Random;Yes;
computazionale;2;Random;Random;Random;Yes;
scopi;2;Random;Random;Random;Yes;
l'intelligenza;2;Random;Random;Random;Yes;
necessariamente;2;Random;Random;Random;Yes;
umana;2;Random;Random;Random;Yes;
classe;2;Random;Random;Random;Yes;
sé;2;Random;Random;Random;Yes;
aziende;2;Random;Random;Random;Yes;
prodotti;2;Random;Random;Random;Yes;
pensare;2;Random;Random;Random;Yes;
implementazioni;2;Random;Random;Random;Yes;
engineering;2;Random;Random;Random;Yes;
ke;2;Random;Random;Random;Yes;
kb;2;Random;Random;Random;Yes;
essenziale;2;Random;Random;Random;Yes;
framework;2;Random;Random;Random;Yes;
wikipedia;2;Random;Random;Random;Yes;
stimoli;2;Random;Random;Random;Yes;
fino;2;Random;Random;Random;Yes;
stesse;2;Random;Random;Random;Yes;
fatti;2;Random;Random;Random;Yes;
organizzate;2;Random;Random;Random;Yes;
sensori;2;Random;Random;Random;Yes;
insiemi;2;Random;Random;Random;Yes;
percezioni;2;Random;Random;Random;Yes;
dotati;2;Random;Random;Random;Yes;
specifiche;2;Random;Random;Random;Yes;
distinzioni;2;Random;Random;Random;Yes;
vs;2;Random;Random;Random;Yes;
soggettiva;2;Random;Random;Random;Yes;
processo;2;Random;Random;Random;Yes;
contenuto;2;Random;Random;Random;Yes;
web;2;Random;Random;Random;Yes;
applicata;2;Random;Random;Random;Yes;
atto;2;Random;Random;Random;Yes;
commistione;2;Random;Random;Random;Yes;
ben;2;Random;Random;Random;Yes;
fornisce;2;Random;Random;Random;Yes;
esperienze;2;Random;Random;Random;Yes;
organizzazione;2;Random;Random;Random;Yes;
all'apprendimento;2;Random;Random;Random;Yes;
regole;2;Random;Random;Random;Yes;
procedurale;2;Random;Random;Random;Yes;
proposizionali;2;Random;Random;Random;Yes;
diventare;2;Random;Random;Random;Yes;
logica;2;Random;Random;Random;Yes;
prestazioni;2;Random;Random;Random;Yes;
richiedono;2;Random;Random;Random;Yes;
nozione;2;Random;Random;Random;Yes;
hanno;2;Random;Random;Random;Yes;
molta;2;Random;Random;Random;Yes;
genere;2;Random;Random;Random;Yes;
op;2;Random;Random;Random;Yes;
diventano;2;Random;Random;Random;Yes;
riconoscimento;2;Random;Random;Random;Yes;
tipo;2;Random;Random;Random;Yes;
legale;2;Random;Random;Random;Yes;
costruzione;2;Random;Random;Random;Yes;
usarla;2;Random;Random;Random;Yes;
problematiche;2;Random;Random;Random;Yes;
acquisire;2;Random;Random;Random;Yes;
precisa;2;Random;Random;Random;Yes;
sintassi;2;Random;Random;Random;Yes;
semplice;2;Random;Random;Random;Yes;
gnu;2;Random;Random;Random;Yes;
informale;2;Random;Random;Random;Yes;
costituisca;2;Random;Random;Random;Yes;
far;2;Random;Random;Random;Yes;
calcolare;2;Random;Random;Random;Yes;
all'utente;2;Random;Random;Random;Yes;
obiettivi;2;Random;Random;Random;Yes;
compatta;2;Random;Random;Random;Yes;
correttezza;2;Random;Random;Random;Yes;
modifiche;2;Random;Random;Random;Yes;
esprimere;2;Random;Random;Random;Yes;
utenti;2;Random;Random;Random;Yes;
quelli;2;Random;Random;Random;Yes;
ammettere;2;Random;Random;Random;Yes;
maggiori;2;Random;Random;Random;Yes;
inferenza;2;Random;Random;Random;Yes;
poi;2;Random;Random;Random;Yes;
aggiungere;2;Random;Random;Random;Yes;
trattabilità;2;Random;Random;Random;Yes;
tardi;2;Random;Random;Random;Yes;
naturali;2;Random;Random;Random;Yes;
buona;2;Random;Random;Random;Yes;
esperti;2;Random;Random;Random;Yes;
dall'esperienza;2;Random;Random;Random;Yes;
poco;2;Random;Random;Random;Yes;
conclusioni;2;Random;Random;Random;Yes;
definito;2;Random;Random;Random;Yes;
occorre;2;Random;Random;Random;Yes;
conti;2;Random;Random;Random;Yes;
classi;2;Random;Random;Random;Yes;
ottimale;2;Random;Random;Random;Yes;
sotto;2;Random;Random;Random;Yes;
soddisfacente;2;Random;Random;Random;Yes;
approssimazioni;2;Random;Random;Random;Yes;
conveniente;2;Random;Random;Random;Yes;
ragioni;2;Random;Random;Random;Yes;
seconda;2;Random;Random;Random;Yes;
algo;2;Random;Random;Random;Yes;
probabile;2;Random;Random;Random;Yes;
certezza;2;Random;Random;Random;Yes;
falsi;2;Random;Random;Random;Yes;
proporzione;2;Random;Random;Random;Yes;
fornite;2;Random;Random;Random;Yes;
corrette;2;Random;Random;Random;Yes;
unità;2;Random;Random;Random;Yes;
parole;2;Random;Random;Random;Yes;
modificare;2;Random;Random;Random;Yes;
symbol;2;Random;Random;Random;Yes;
newell;2;Random;Random;Random;Yes;
simbolico;2;Random;Random;Random;Yes;
serva;2;Random;Random;Random;Yes;
produrre;2;Random;Random;Random;Yes;
meno;2;Random;Random;Random;Yes;
interni;2;Random;Random;Random;Yes;
modellare;2;Random;Random;Random;Yes;
risulti;2;Random;Random;Random;Yes;
dinamica;2;Random;Random;Random;Yes;
troppo;2;Random;Random;Random;Yes;
precisione;2;Random;Random;Random;Yes;
grandezza;2;Random;Random;Random;Yes;
fattori;2;Random;Random;Random;Yes;
level;2;Random;Random;Random;Yes;
scegliere;2;Random;Random;Random;Yes;
biologici;2;Random;Random;Random;Yes;
considera;2;Random;Random;Random;Yes;
riguardano;2;Random;Random;Random;Yes;
precedente;2;Random;Random;Random;Yes;
voler;2;Random;Random;Random;Yes;
basate;2;Random;Random;Random;Yes;
svolto;2;Random;Random;Random;Yes;
conseguente;2;Random;Random;Random;Yes;
offline;2;Random;Random;Random;Yes;
considerano;2;Random;Random;Random;Yes;
fondo;2;Random;Random;Random;Yes;
bk;2;Random;Random;Random;Yes;
